X,Y
7.1847,-0.21402
7.2783,-0.19037
7.4832,-0.17013
7.6258,-0.22536
7.7368,-0.19902
7.7965,-0.18623
7.9099,-0.19289
8.0091,-0.20941
8.1527,-0.25462
8.3158,-0.22441
8.3524,-0.23202
8.5483,-0.31977
8.722999999999999,-0.28852
8.9837,-0.44354
9.2798,-0.40857
9.61,-0.37356
9.9519,-0.38277
10.238,-0.38753
10.413,-0.38864
10.653,-0.44408
10.741,-0.39803
11.056,-0.52537
11.491,-0.4535
11.783,-0.68476
11.783,-0.6743571413496395
11.783,-0.6743567725556397
12.2,-0.48403
12.357,-0.5101899999999999
12.537,-0.4916
12.892,-0.5120100000000001
13.043,-0.5270100000000001
13.186,-0.53985
13.629,-0.54223
13.873,-0.7780661861585318
13.873,-0.8154204660506074
13.873,-0.815421172937609
13.873,-0.828
14.11,-0.58805
14.295,-0.61729
14.47,-0.8734160806882948
14.47,-0.8734162154496995
14.47,-0.88689
14.672,-0.83831
15.066,-0.75905
15.443,-0.9578292668599468
15.443,-0.9578281098742062
15.61,-0.68382
15.968,-0.67865
15.991,-0.60445
15.991,-0.5952670868672341
15.991,-0.5952670057492243
15.991,-0.5679972845196872
15.991,-0.5679971247483975
15.991,-0.523469172102504
15.991,-0.523468938532504
15.991,-0.4630357137791682
15.991,-0.4630354135073643
15.991,-0.3885331496000293
15.991,-0.3885327917500282
15.991,-0.30222520227755345
15.991,-0.3022247977224468
15.991,-0.20673429511720592
15.991,-0.20673385614919493
15.991,-0.10496187101232288
15.991,-0.10496141096922916
15.991,-2.335699999629881e-07
15.991,2.3356999988896432e-07
15.991,0.10496141096922924
15.991,0.1049618710123227
15.991,0.2067338561491951
15.991,0.2067342951172061
15.991,0.3022247977224465
15.991,0.3022252022775536
15.991,0.38853279175002814
15.991,0.3885331496000293
15.991,0.4630354135073643
15.991,0.4630357137791681
15.991,0.523468938532504
15.991,0.5234691721025038
15.991,0.5679971247483975
15.991,0.5679972845196872
15.991,0.5952670057492243
15.991,0.5952670868672341
15.991,0.60445
15.968,0.67865
15.61,0.68382
15.443,0.9578281098742062
15.443,0.957829266859947
15.066,0.75905
14.672,0.83831
14.47,0.88689
14.47,0.8734162154496995
14.47,0.8734160806882948
14.295,0.61729
14.11,0.58805
13.873,0.828
13.873,0.815421172937609
13.873,0.8154204660506074
13.873,0.7780661861585318
13.629,0.54223
13.186,0.53985
13.043,0.5270100000000001
12.892,0.5120100000000001
12.537,0.4916
12.357,0.5101899999999999
12.2,0.48403
11.783,0.6743567725556397
11.783,0.6743571413496395
11.783,0.68476
11.491,0.4535
11.056,0.52537
10.741,0.39803
10.653,0.44408
10.413,0.38864
10.238,0.38753
9.9519,0.38277
9.61,0.37356
9.2798,0.40857
8.9837,0.44354
8.722999999999999,0.28852
8.5483,0.31977
8.3524,0.23202
8.3158,0.22441
8.1527,0.25462
8.0091,0.20941
7.9099,0.19289
7.7965,0.18623
7.7368,0.19902
7.6258,0.22536
7.4832,0.17013
7.2783,0.19037
7.1847,0.21402
7.0676,0.24949
6.8997,0.20677
6.7423,0.1676
6.6765,0.14301
6.5593,0.13699
6.3886,0.16691
6.3189,0.19309
6.275,0.16357
6.0741,0.14297
5.8806,0.23337
5.5920000000000005,0.10808
5.5015,0.11514
5.3568,0.10655
5.1444,0.083357
4.9914,0.14545
4.837,0.11392
4.7777,0.12068
4.7084,0.10929
4.4315,0.15234
4.3064,0.10016
4.291,0.094197
4.1256,0.082376
4.0466,0.088987
4.0466,0.0876359371083714
4.0466,0.08763423792622331
4.0466,0.08362210061362887
4.0466,0.0836187538781224
4.0466,0.07706744890656585
4.0466,0.07706255630656582
4.0466,0.06817114176248765
4.0466,0.06816485195716933
4.0466,0.057203488972218476
4.0466,0.05719599307413367
4.0466,0.044497737115890564
4.0466,0.04448926288410945
4.0466,0.03043994403423775
4.0466,0.03043074895400485
4.0466,0.015457248656459525
4.0466,0.01544761211563471
4.0466,4.8926000000054485e-06
4.0466,-4.892600000016346e-06
4.0466,-0.01544761211563474
4.0466,-0.015457248656459515
4.0466,-0.030430748954004824
4.0466,-0.030439944034237724
4.0466,-0.04448926288410942
4.0466,-0.0444977371158906
4.0466,-0.05719599307413367
4.0466,-0.05720348897221849
4.0466,-0.06816485195716933
4.0466,-0.06817114176248765
4.0466,-0.07706255630656585
4.0466,-0.07706744890656582
4.0466,-0.08361875387812237
4.0466,-0.08362210061362887
4.0466,-0.08763423792622331
4.0466,-0.0876359371083714
4.0466,-0.088987
4.1256,-0.082376
4.291,-0.094197
4.3064,-0.10016
4.4315,-0.15234
4.7084,-0.10929
4.7777,-0.12068
4.837,-0.11392
4.9914,-0.14545
5.1444,-0.083357
5.3568,-0.10655
5.5015,-0.11514
5.5920000000000005,-0.10808
5.8806,-0.23337
6.0741,-0.14297
6.275,-0.16357
6.3189,-0.19309
6.3886,-0.16691
6.5593,-0.13699
6.6765,-0.14301
6.7423,-0.1676
6.8997,-0.20677
7.0676,-0.24949
7.1847,-0.21402
