X,Y
4.8548,-0.070476
4.9106,-0.06455599999999999
5.0686,-0.1026
5.0954,-0.1106
5.1611,-0.11487
5.324,-0.1695
5.5344,-0.13742
5.612,-0.15183
5.7418,-0.15692
5.9745,-0.16117
6.0696,-0.16951
6.2823,-0.21756
6.4514,-0.10874
6.6053,-0.13329000000000002
6.6829,-0.18958
6.7837,-0.18335
6.9314,-0.2538
7.1717,-0.13377999999999998
7.3193,-0.18528
7.3684,-0.22391
7.5177,-0.30359
7.8928,-0.44825
8.33,-0.38176
8.6458,-0.28206
8.9118,-0.4220100000000001
9.2229,-0.33403
9.3047,-0.32835
9.4665,-0.27654
9.6111,-0.2806
9.8481,-0.27875
9.943,-0.28322
9.9999,-0.298
10.145,-0.41016
10.362,-0.24629
10.456,-0.24399
10.532,-0.24324
10.802,-0.42792
10.945,-0.41877
11.152,-0.41906
11.501,-0.54525
11.657,-0.67318
11.935,-0.52244
12.161,-0.42486
12.485,-0.6642626032809252
12.485,-0.6642627516876037
12.923,-0.50272
13.079,-0.39884
13.385,-0.63084
13.534,-0.76436
13.838,-0.70267
14.047,-0.6445
14.416,-0.62813
14.571,-0.80102
14.996,-0.70836
15.122,-0.8226100000000001
15.37,-0.67925
15.687,-0.7280300000000001
15.823,-0.70548
15.964,-0.7377
15.964,-0.7264933412918647
15.964,-0.7264920175023472
15.964,-0.6932125500319449
15.964,-0.6932099426755843
15.964,-0.66005
15.964,-0.6500226519351117
15.964,-0.6500220628163041
15.964,-0.6388688462217805
15.964,-0.6388650345217803
15.964,-0.6202446945185079
15.964,-0.6202435341809698
15.964,-0.5716209159179187
15.964,-0.5716192196179187
15.964,-0.5651134358024018
15.964,-0.5651085355753382
15.964,-0.5056287250413037
15.964,-0.5056265443200592
15.964,-0.4741873395973639
15.964,-0.4741814997341564
15.964,-0.4242732612147892
15.964,-0.4242706623324115
15.964,-0.36885330102903147
15.964,-0.3688466989709687
15.964,-0.3300264690388923
15.981,-0.24046
15.981,-0.23680693227086905
15.981,-0.236806812307762
15.981,-0.22595860573477744
15.981,-0.2259583694535816
15.981,-0.20824464130400608
15.981,-0.2082442958840061
15.981,-0.1842032688240856
15.981,-0.18420282476069327
15.981,-0.1545649732322968
15.981,-0.15456444401815372
15.981,-0.12023029914249507
15.981,-0.12022970085750495
15.981,-0.08224248825271532
15.981,-0.08224183907546521
15.988,-8.9913e-08
15.988,8.9913e-08
15.981,0.08224183907546527
15.981,0.08224248825271539
15.981,0.12022970085750505
15.981,0.120230299142495
15.981,0.1545644440181537
15.981,0.1545649732322968
15.981,0.18420282476069325
15.981,0.1842032688240856
15.981,0.2082442958840061
15.981,0.2082446413040061
15.981,0.2259583694535816
15.981,0.22595860573477744
15.981,0.236806812307762
15.981,0.23680693227086905
15.981,0.24046
15.964,0.3300264690388925
15.964,0.3688466989709685
15.964,0.3688533010290317
15.964,0.42427066233241145
15.964,0.4242732612147891
15.964,0.4741814997341562
15.964,0.4741873395973639
15.964,0.5056265443200592
15.964,0.5056287250413036
15.964,0.5651085355753382
15.964,0.5651134358024018
15.964,0.5716192196179187
15.964,0.5716209159179185
15.964,0.6202435341809698
15.964,0.6202446945185079
15.964,0.6388650345217805
15.964,0.6388688462217802
15.964,0.6500220628163041
15.964,0.6500226519351117
15.964,0.66005
15.964,0.6932099426755843
15.964,0.6932125500319449
15.964,0.7264920175023472
15.964,0.7264933412918647
15.964,0.7377
15.823,0.70548
15.687,0.7280300000000001
15.37,0.67925
15.122,0.8226100000000001
14.996,0.70836
14.571,0.80102
14.416,0.62813
14.047,0.6445
13.838,0.70267
13.534,0.76436
13.385,0.63084
13.079,0.39884
12.923,0.50272
12.485,0.6642627516876037
12.485,0.6642626032809252
12.161,0.42486
11.935,0.52244
11.657,0.67318
11.501,0.54525
11.152,0.41906
10.945,0.41877
10.802,0.42792
10.532,0.24324
10.456,0.24399
10.362,0.24629
10.145,0.41016
9.9999,0.298
9.943,0.28322
9.8481,0.27875
9.6111,0.2806
9.4665,0.27654
9.3047,0.32835
9.2229,0.33403
8.9118,0.4220100000000001
8.6458,0.28206
8.33,0.38176
7.8928,0.44825
7.5177,0.30359
7.3684,0.22391
7.3193,0.18528
7.1717,0.13377999999999998
6.9314,0.2538
6.7837,0.18335
6.6829,0.18958
6.6053,0.13329000000000002
6.4514,0.10874
6.2823,0.21756
6.0696,0.16951
5.9745,0.16117
5.7418,0.15692
5.612,0.15183
5.5344,0.13742
5.324,0.1695
5.1611,0.11487
5.0954,0.1106
5.0686,0.1026
4.9106,0.06455599999999999
4.8548,0.070476
4.7592,0.069404
4.7575,0.06941
4.607,0.077878
4.5707,0.08534299999999999
4.4798,0.07436799999999999
4.3836,0.091514
4.3243,0.12423
4.192,0.085752
4.0007,0.06028500000000001
4.0007,0.05936938730175231
4.0007,0.05936888347892962
4.0007,0.05664986581270043
4.0007,0.05664887347545657
4.0007,0.05220906681714487
4.0007,0.05220761611714489
4.0007,0.04618192174541296
4.0007,0.04618005676144223
4.0007,0.03875156235062665
4.0007,0.0387493397492794
4.0007,0.03014375634305328
4.0007,0.030141243656946738
4.0007,0.02062004755247293
4.0007,0.02061732112830297
4.0007,0.010469809051258168
4.0007,0.010466951730043608
4.0007,1.450699999988926e-06
4.0007,-1.4506999999963088e-06
4.0007,-0.010466951730043602
4.0007,-0.010469809051258187
4.0007,-0.02061732112830296
4.0007,-0.020620047552472917
4.0007,-0.030141243656946762
4.0007,-0.030143756343053264
4.0007,-0.0387493397492794
4.0007,-0.038751562350626656
4.0007,-0.04618005676144223
4.0007,-0.04618192174541296
4.0007,-0.05220761611714488
4.0007,-0.052209066817144885
4.0007,-0.05664887347545657
4.0007,-0.056649865812700415
4.0007,-0.05936888347892962
4.0007,-0.05936938730175231
4.0007,-0.06028500000000001
4.192,-0.085752
4.3243,-0.12423
4.3836,-0.091514
4.4798,-0.07436799999999999
4.5707,-0.08534299999999999
4.607,-0.077878
4.7575,-0.06941
4.7592,-0.069404
4.8548,-0.070476
