X,Y
6.8312,0.15135
6.7063,0.15466
6.627000000000002,0.13896
6.4962,0.14425
6.444,0.14423
6.3605,0.12983
6.2425,0.12795
6.1049,0.16225
5.939,0.12988
5.9016,0.13741
5.733,0.14720999999999998
5.6489,0.14031
5.4905,0.11698
5.4203,0.11564
5.3504,0.11576
5.2048,0.17125
4.9806,0.13417
4.8343,0.14948
4.5592,0.14261
4.5492,0.14409
4.3805,0.094274
4.24,0.082179
4.1609,0.094154
4.0418,0.096597
4.0418,0.09512965248973757
4.0418,0.09512929654570296
4.0418,0.0907718386265013
4.0418,0.0907711375536115
4.0418,0.0836559683793654
4.0418,0.08365494347936543
4.0418,0.07399825386498507
4.0418,0.07399693627894276
4.0418,0.06209213985184039
4.0418,0.06209056961394089
4.0418,0.04829938758943635
4.0418,0.048297612410563684
4.0418,0.033039082875796696
4.0418,0.033037156693862584
4.0418,0.016774902347558497
4.0418,0.016772883688626415
4.0418,1.0248999999822556e-06
4.0418,-1.0248999999940849e-06
4.0418,-0.016772883688626408
4.0418,-0.016774902347558532
4.0418,-0.03303715669386256
4.0418,-0.03303908287579667
4.0418,-0.048297612410563705
4.0418,-0.04829938758943632
4.0418,-0.0620905696139409
4.0418,-0.0620921398518404
4.0418,-0.07399693627894276
4.0418,-0.07399825386498507
4.0418,-0.08365494347936543
4.0418,-0.08365596837936543
4.0418,-0.0907711375536115
4.0418,-0.09077183862650127
4.0418,-0.09512929654570296
4.0418,-0.09512965248973757
4.0418,-0.096597
4.1609,-0.094154
4.24,-0.082179
4.3805,-0.094274
4.5492,-0.14409
4.5592,-0.14261
4.8343,-0.14948
4.9806,-0.13417
5.2048,-0.17125
5.3504,-0.11576
5.4203,-0.11564
5.4905,-0.11698
5.6489,-0.14031
5.733,-0.14720999999999998
5.9016,-0.13741
5.939,-0.12988
6.1049,-0.16225
6.2425,-0.12795
6.3605,-0.12983
6.444,-0.14423
6.4962,-0.14425
6.627000000000002,-0.13896
6.7063,-0.15466
6.8312,-0.15135
6.9747,-0.20523
7.0524,-0.21449
7.2752,-0.1855
7.5202,-0.22817
7.686,-0.34352
7.9236,-0.28138
7.9679,-0.28181
8.1012,-0.22035
8.3204,-0.24867
8.4804,-0.2948
8.6792,-0.25266
8.8977,-0.23041
8.9543,-0.2569
9.1395,-0.21618
9.3778,-0.3612
9.6305,-0.28816
9.9102,-0.32328
9.9774,-0.39925
10.032,-0.48582
10.315,-0.4516
10.493,-0.44107
10.886,-0.5985
11.027,-0.38462
11.15,-0.32863000000000003
11.309,-0.3548
11.476,-0.35905
11.555,-0.4011
11.638,-0.4330100000000001
11.762,-0.51195
11.854,-0.41509
12.226,-0.44047
12.484000000000002,-0.6972886564567686
12.484000000000002,-0.6972903681991821
12.484000000000002,-0.7307663105079789
12.484000000000002,-0.7307671795823786
12.484000000000002,-0.7420399999999999
12.651,-0.66301
12.917,-0.925099829447138
12.917,-0.9251000262745972
12.917,-1.102491079957909
12.917,-1.1024912451157571
13.054,-0.9191
13.217,-0.8831899999999999
13.456,-0.8449200000000001
13.8,-0.71354
13.847,-0.72231
14.066,-0.67797
14.123,-0.67808
14.267,-0.64478
14.659,-0.84055
14.963,-0.75957
15.311,-0.67718
15.406,-0.75229
15.717,-0.7969
15.877,-0.79643
15.877,-0.7843308004059372
15.877,-0.7843300770570883
15.911,-0.65082
15.949000000000002,-0.56395
15.949000000000002,-0.5553824385613452
15.949000000000002,-0.5553822260611242
15.949000000000002,-0.5299398627640779
15.949000000000002,-0.5299394442203479
15.966,-0.43462
15.966,-0.4280171985421304
15.966,-0.4280170926862013
15.966,-0.4084093110937112
15.966,-0.4084091025982319
15.966,-0.3763921133927928
15.966,-0.3763918085927927
15.966,-0.33293843179003363
15.966,-0.3329380399467068
15.966,-0.27936858441231
15.966,-0.2793681174316175
15.966,-0.217310263964543
15.966,-0.2173097360354571
15.999,-0.079042
15.999,-0.07784123873113948
15.999,-0.07784111009604243
15.999,-0.07427531081300066
15.999,-0.07427505745131888
15.999,-0.0684525651609296
15.999,-0.0684521947709296
15.999,-0.060549922955113016
15.999,-0.0605494467909075
15.999,-0.052425
15.999,-0.0516285651952493
15.999,-0.05162852770808071
15.999,-0.05080750198004474
15.999,-0.05080693450964216
15.999,-0.04926342256235552
15.999,-0.049263348727046984
15.999,-0.0454014357633992
15.999,-0.0454013278233992
15.999,-0.040159949313007
15.999,-0.04015981054801783
15.999,-0.039521320767149336
15.999,-0.039520679232850665
15.999,-0.033698223124654016
15.999,-0.033698057750979636
15.999,-0.0270343042214973
15.999,-0.02703360811599769
15.999,-0.026212593478782072
15.999,-0.02621240652121794
15.999,-0.017930507444269668
15.999,-0.017930304583426683
15.999,-0.013725864022093146
15.999,-0.013725134496205868
15.999,-0.009103612014337679
15.999,-0.009103399414039962
15.999,-3.703900000145198e-07
15.999,3.7039000000483997e-07
15.999,0.009103399414039969
15.999,0.009103612014337664
15.999,0.01372513449620584
15.999,0.013725864022093151
15.999,0.0179303045834267
15.999,0.017930507444269685
15.999,0.026212406521217924
15.999,0.02621259347878209
15.999,0.02703360811599772
15.999,0.027034304221497333
15.999,0.033698057750979636
15.999,0.033698223124654016
15.999,0.0395206792328507
15.999,0.03952132076714932
15.999,0.04015981054801783
15.999,0.040159949313007
15.999,0.0454013278233992
15.999,0.04540143576339918
15.999,0.049263348727046984
15.999,0.04926342256235552
15.999,0.05080693450964215
15.999,0.05080750198004473
15.999,0.05162852770808071
15.999,0.0516285651952493
15.999,0.052425
15.999,0.060549446790907485
15.999,0.060549922955113016
15.999,0.06845219477092958
15.999,0.06845256516092961
15.999,0.07427505745131889
15.999,0.07427531081300066
15.999,0.07784111009604243
15.999,0.07784123873113948
15.999,0.079042
15.966,0.21730973603545686
15.966,0.21731026396454314
15.966,0.27936811743161744
15.966,0.27936858441231
15.966,0.3329380399467068
15.966,0.3329384317900336
15.966,0.3763918085927928
15.966,0.3763921133927926
15.966,0.4084091025982319
15.966,0.4084093110937112
15.966,0.4280170926862013
15.966,0.4280171985421304
15.966,0.43462
15.949000000000002,0.5299394442203479
15.949000000000002,0.5299398627640781
15.949000000000002,0.5553822260611242
15.949000000000002,0.5553824385613452
15.949000000000002,0.56395
15.911,0.65082
15.877,0.7843300770570883
15.877,0.7843308004059372
15.877,0.79643
15.717,0.7969
15.406,0.75229
15.311,0.67718
14.963,0.75957
14.659,0.84055
14.267,0.64478
14.123,0.67808
14.066,0.67797
13.847,0.72231
13.8,0.71354
13.456,0.8449200000000001
13.217,0.8831899999999999
13.054,0.9191
12.917,1.1024912451157571
12.917,1.102491079957909
12.917,0.9251000262745972
12.917,0.925099829447138
12.651,0.66301
12.484000000000002,0.7420399999999999
12.484000000000002,0.7307671795823786
12.484000000000002,0.7307663105079789
12.484000000000002,0.6972903681991821
12.484000000000002,0.6972886564567687
12.226,0.44047
11.854,0.41509
11.762,0.51195
11.638,0.4330100000000001
11.555,0.4011
11.476,0.35905
11.309,0.3548
11.15,0.32863000000000003
11.027,0.38462
10.886,0.5985
10.493,0.44107
10.315,0.4516
10.032,0.48582
9.9774,0.39925
9.9102,0.32328
9.6305,0.28816
9.3778,0.3612
