X,Y
5.9604,-0.14032
6.0783,-0.11561
6.1689,-0.12568
6.3571,-0.23941
6.6368,-0.17947000000000002
6.7949,-0.21286
6.9116,-0.18663
6.9961,-0.19338
7.2402,-0.23913
7.4702,-0.22102
7.5369,-0.22357
7.7516,-0.25866
7.8614,-0.22865
7.9503,-0.23022
8.0387,-0.24192
8.1554,-0.27538
8.3817,-0.22011
8.5811,-0.369
8.8704,-0.22747
8.9853,-0.25415
9.1182,-0.29503
9.3376,-0.4729
9.7011,-0.30968
9.8715,-0.33222
10.111,-0.22197
10.282,-0.31827
10.473,-0.39836
10.633,-0.39447
10.868,-0.18788
11.157,-0.43697
11.452,-0.63754
11.88,-0.64763
11.982,-0.53785
12.14,-0.4236
12.592,-0.53491
12.724,-0.5694100000000001
12.987,-0.672
13.105,-0.50162
13.334,-0.4378
13.56,-0.6815973485490533
13.56,-0.7143200986534106
13.56,-0.7143208124863394
13.56,-0.72534
13.813,-0.7048300000000001
14.181,-0.50125
14.39,-0.7379857612095941
14.39,-0.8343017061938148
14.39,-0.8343040802938146
14.566,-0.62947
14.798,-0.6753399999999999
15.139,-0.8952200000000001
15.153,-0.91678
15.253,-0.82468
15.701,-0.68594
15.994000000000002,-0.9541632713729454
15.994000000000002,-0.8793630952027192
15.994000000000002,-0.8793612948027191
15.994000000000002,-0.7778426848178226
15.994000000000002,-0.777840370268198
15.994000000000002,-0.6526879180621276
15.994000000000002,-0.6526851596892969
15.994000000000002,-0.5077015591921368
15.994000000000002,-0.5076984408078635
15.994000000000002,-0.3472889453554785
15.994000000000002,-0.3472855617102894
15.994000000000002,-0.17632413265087954
15.994000000000002,-0.17632058655512256
15.992,-0.071684
15.992,-0.07059506116061616
15.992,-0.07059485677323807
15.992,-0.06736112711069159
15.992,-0.06736072454614253
15.992,-0.0620804592998837
15.992,-0.0620798707898837
15.992,-0.05491350814747699
15.992,-0.05491275157360464
15.992,-0.04607803783758512
15.992,-0.04607713618795467
15.992,-0.03584250966461037
15.992,-0.03584149033538965
15.994000000000002,-1.8003999999378246e-06
15.994000000000002,1.800399999813474e-06
15.992,0.035841490335389616
15.992,0.03584250966461039
15.992,0.04607713618795466
15.992,0.0460780378375851
15.992,0.05491275157360464
15.992,0.05491350814747698
15.992,0.0620798707898837
15.992,0.06208045929988368
15.992,0.06736072454614253
15.992,0.0673611271106916
15.992,0.07059485677323807
15.992,0.07059506116061616
15.992,0.071684
15.994000000000002,0.17632058655512264
15.994000000000002,0.17632413265087926
15.994000000000002,0.3472855617102897
15.994000000000002,0.3472889453554788
15.994000000000002,0.5076984408078632
15.994000000000002,0.5077015591921371
15.994000000000002,0.6526851596892967
15.994000000000002,0.6526879180621274
15.994000000000002,0.777840370268198
15.994000000000002,0.7778426848178225
15.994000000000002,0.8793612948027192
15.994000000000002,0.8793630952027188
15.994000000000002,0.9541632713729454
15.701,0.68594
15.253,0.82468
15.153,0.91678
15.139,0.8952200000000001
14.798,0.6753399999999999
14.566,0.62947
14.39,0.8343040802938148
14.39,0.8343017061938145
14.39,0.7379857612095941
14.181,0.50125
13.813,0.7048300000000001
13.56,0.72534
13.56,0.7143208124863394
13.56,0.7143200986534106
13.56,0.6815973485490533
13.334,0.4378
13.105,0.50162
12.987,0.672
12.724,0.5694100000000001
12.592,0.53491
12.14,0.4236
11.982,0.53785
11.88,0.64763
11.452,0.63754
11.157,0.43697
10.868,0.18788
10.633,0.39447
10.473,0.39836
10.282,0.31827
10.111,0.22197
9.8715,0.33222
9.7011,0.30968
9.3376,0.4729
9.1182,0.29503
8.9853,0.25415
8.8704,0.22747
8.5811,0.369
8.3817,0.22011
8.1554,0.27538
8.0387,0.24192
7.9503,0.23022
7.8614,0.22865
7.7516,0.25866
7.5369,0.22357
7.4702,0.22102
7.2402,0.23913
6.9961,0.19338
6.9116,0.18663
6.7949,0.21286
6.6368,0.17947000000000002
6.3571,0.23941
6.1689,0.12568
6.0783,0.11561
5.9604,0.14032
5.7882,0.1699
5.642,0.14379
5.5198,0.13997
5.3877,0.099832
5.2272,0.10979
5.1193,0.093504
5.0046,0.12566
4.99,0.12041
4.9510000000000005,0.10595999999999996
4.8124,0.096182
4.5979,0.12047
4.481,0.1019
4.3913,0.12152
4.0987,0.1261
4.0265,0.077179
4.0265,0.07600663214091806
4.0265,0.07600632299854032
4.0265,0.072524841225446
4.0265,0.07252423233382524
4.0265,0.06683941970867915
4.0265,0.0668385295686792
4.0265,0.059123116246442474
4.0265,0.05912197190451673
4.0265,0.04961038681479801
4.0265,0.04960902304119682
4.0265,0.03859027088385293
4.0265,0.03858872911614708
4.0265,0.026397609099721272
4.0265,0.026395936183742325
4.0265,0.013402869320929257
4.0265,0.013401116087382757
4.0265,8.901399999858225e-07
4.0265,-8.901399999952742e-07
4.0265,-0.01340111608738275
4.0265,-0.01340286932092928
4.0265,-0.026395936183742304
4.0265,-0.02639760909972125
4.0265,-0.03858872911614712
4.0265,-0.03859027088385291
4.0265,-0.049609023041196826
4.0265,-0.04961038681479802
4.0265,-0.05912197190451673
4.0265,-0.059123116246442474
4.0265,-0.0668385295686792
4.0265,-0.06683941970867918
4.0265,-0.07252423233382524
4.0265,-0.072524841225446
4.0265,-0.07600632299854032
4.0265,-0.07600663214091806
4.0265,-0.077179
4.0987,-0.1261
4.3913,-0.12152
4.481,-0.1019
4.5979,-0.12047
4.8124,-0.096182
4.9510000000000005,-0.10595999999999996
4.99,-0.12041
5.0046,-0.12566
5.1193,-0.093504
5.2272,-0.10979
