X,Y
14.107,-0.64888
14.352,-0.59533
14.521,-0.68288
14.792,-0.7558600000000001
14.934,-0.95812
15.136,-0.72822
15.154000000000002,-0.72145
15.464,-0.74419
15.628,-0.65991
15.973,-0.73236
15.973,-0.7212339844716177
15.973,-0.7212336275204237
15.973,-0.6881936392870712
15.973,-0.6881929362304645
15.973,-0.6342428786155715
15.973,-0.6342418508155715
15.973,-0.56102096901972
15.973,-0.5610196477055094
15.973,-0.4707527211705127
15.973,-0.4707511464895554
15.998,-0.30232
15.998,-0.2977275361338727
15.998,-0.29772662364742875
15.998,-0.2840887717397204
15.998,-0.2840869744922712
15.998,-0.26181811377211145
15.998,-0.2618154863721115
15.998,-0.2315922449038951
15.998,-0.2315888671835637
15.998,-0.1943295628656045
15.998,-0.1943255374552647
15.998,-0.15116227539514604
15.998,-0.15115772460485402
15.998,-0.10340199867860796
15.998,-0.1033970607818243
15.998,-0.052499904556156635
15.998,-0.0524947295883761
15.998,-2.6274000000555353e-06
15.998,2.627400000018512e-06
15.998,0.052494729588376
15.998,0.05249990455615666
15.998,0.10339706078182437
15.998,0.10340199867860804
15.998,0.1511577246048541
15.998,0.15116227539514593
15.998,0.19432553745526468
15.998,0.1943295628656045
15.998,0.2315888671835637
15.998,0.2315922449038951
15.998,0.2618154863721114
15.998,0.2618181137721115
15.998,0.2840869744922712
15.998,0.2840887717397204
15.998,0.29772662364742875
15.998,0.2977275361338727
15.998,0.30232
15.973,0.4707511464895552
15.973,0.4707527211705126
15.973,0.5610196477055094
15.973,0.56102096901972
15.973,0.6342418508155713
15.973,0.6342428786155715
15.973,0.6881929362304645
15.973,0.6881936392870712
15.973,0.7212336275204237
15.973,0.7212339844716177
15.973,0.73236
15.628,0.65991
15.464,0.74419
15.154000000000002,0.72145
15.136,0.72822
14.934,0.95812
14.792,0.7558600000000001
14.521,0.68288
14.352,0.59533
14.107,0.64888
13.911,0.83126
13.821,0.6532899999999999
13.623,0.59055
13.470999999999998,0.54378
13.348,0.53655
13.05,0.6607
12.942,0.86592
12.942,0.8527648414219465
12.942,0.8527646175547158
12.942,0.8136988546571182
12.942,0.8136984137247494
12.942,0.7499090399450212
12.942,0.7499083953450209
12.932,0.65758
12.932,0.6475901621119006
12.932,0.6475896023396351
12.932,0.6179236248444647
12.932,0.6179225223083308
12.932,0.5694817909205709
12.799,0.37161
12.689,0.3253
12.483,0.36836
12.380999999999998,0.49114
12.239,0.48995
12.122,0.5595
11.743,0.46894
11.593,0.46273
11.353,0.42879
11.027,0.54538
10.857,0.3753
10.669,0.36651
10.531,0.31796
10.228,0.39426
10.004,0.4289600000000001
9.8718,0.38786
9.8574,0.37835
9.5092,0.26054
9.3153,0.35627
9.2385,0.35338
9.0488,0.25332
8.7664,0.28135
8.5614,0.27969
8.3347,0.26529
8.2021,0.19615
8.1014,0.18014000000000002
7.9137,0.22534
7.6634,0.28619
7.482,0.20806
7.3514,0.211
7.2343,0.19837
7.0128,0.23498
6.8756,0.20491
6.7688,0.153
6.5967,0.15114
6.5409,0.15734
6.289,0.21295
6.1476,0.15444000000000002
5.9806,0.12385
5.8437,0.10232
5.806,0.10828
5.6982,0.12762
5.5867,0.11417
5.4529999999999985,0.12059
5.3614,0.10598
5.2236,0.10203
