"origId","iceLabel","d","T","Points:0","Points:1","Points:2"
2664,0,1e-05,576.37,1.0541,0.047836,-1.6448e-07
2625,0,1e-05,487.08,0.92153,0.061963,5.8562e-07
2763,0,1e-05,592.31,1.0069,0.044667,-5.1251e-08
2768,0,1e-05,598.27,0.99636,0.043207,-6.1421e-08
2719,0,1e-05,665.72,0.72107,0.10625,-2.967e-07
2096,0,1e-05,694.34,0.62274,0.13618,1.0713e-09
2771,0,1e-05,598.78,1.0496,0.035372,-2.4466e-08
2770,0,1e-05,652.25,0.73508,0.10213,-3.6425e-07
2776,0,1e-05,598.69,0.95109,0.046737,-5.2526e-07
2775,0,1e-05,596.9,1.0698,0.034494,7.8144e-08
2752,0,1e-05,657.44,0.73191,0.10301,3.106e-08
2773,0,1e-05,598.52,1.0532,0.034886,-8.6293e-08
2764,0,1e-05,569.24,0.76279,0.09363,6.8592e-08
2777,0,1e-05,584.18,0.94919,0.050877,-2.4194e-07
2724,0,1e-05,611.03,1.0278,0.022782,-2.1036e-07
2778,0,1e-05,579.39,0.93301,0.052632,6.689e-09
2774,0,1e-05,569.4,0.91697,0.05704,3.2507e-07
2781,0,1e-05,577.68,0.8579,0.066075,3.5565e-07
2780,0,1e-05,610.23,0.97432,0.035483,-2.6456e-08
2786,0,1e-05,601.09,0.94115,0.047278,5.9002e-07
2782,0,1e-05,607.29,0.93502,0.043932,1.2994e-07
2790,0,1e-05,542.61,0.83736,0.07395,3.502e-07
2784,0,1e-05,592.89,0.87523,0.059997,-3.6857e-07
2785,0,1e-05,579.99,0.87572,0.062056,-6.7806e-07
2789,0,1e-05,587.57,0.87203,0.061706,6.5071e-08
2783,0,1e-05,604.98,0.76283,0.09122,3.0243e-07
2791,0,1e-05,593.6,0.84787,0.065604,-9.0131e-07
2779,0,1e-05,613.43,0.92807,0.036871,4.4368e-08
2793,0,1e-05,599.45,0.88371,0.056736,-1.2056e-07
2794,0,1e-05,598.97,0.87627,0.05822,-1.6221e-07
2787,0,1e-05,605.84,0.87235,0.055121,8.6827e-08
2788,0,1e-05,676.64,0.69291,0.11102,1.5443e-07
2748,0,1e-05,607.55,0.82501,0.059544,-2.2698e-08
2795,0,1e-05,610.62,0.88532,0.045595,1.8358e-08
2798,0,1e-05,672.95,0.71167,0.10912,6.8197e-08
2802,0,1e-05,596.86,0.77573,0.087666,1.8979e-07
2800,0,1e-05,599.38,0.78287,0.084381,-3.6088e-08
2799,0,1e-05,606.19,0.84462,0.059941,7.5343e-07
2714,0,1e-05,674.33,0.6898,0.096993,4.9205e-07
2797,0,1e-05,605.64,0.82787,0.064674,-9.1641e-08
2796,0,1e-05,606.01,0.83094,0.063198,5.7544e-07
2804,0,1e-05,616.59,0.76468,0.0845,-3.7632e-07
2801,0,1e-05,623.37,0.75411,0.086335,-1.5908e-07
2808,0,1e-05,656.32,0.72488,0.099068,-5.3797e-08
2803,0,1e-05,613.79,0.77011,0.083253,3.1437e-08
2806,0,1e-05,670.4,0.704,0.10473,-8.8749e-08
