X,Y
13.186,0.56067
13.028,0.66327
7.6548,0.19747
7.4197,0.20085
4.1016,-0.010746335620258505
4.1016,-0.010747488514998798
4.4238,0.10738
4.2195,0.10399
8.7728,0.40503
8.5608,0.26726
5.4898,0.12392
5.3871,0.14842
8.3584,0.30341
8.1778,0.31726
4.5802,0.1292
4.5349,0.1173
9.7642,0.5832128970179753
9.7642,0.5832131018047442
4.1016,0.053597153544815125
4.1016,0.04741010078948986
14.442,0.4961600000000001
14.390999999999998,0.5191899999999999
5.0464,-0.18416
5.2034,-0.11221
13.028,0.66327
12.964,0.5422899999999999
4.1016,-0.053597738884815116
4.1016,-0.05815643640974839
4.1016,0.02116783468996098
4.1016,0.021166734610603668
12.286,-0.57434
12.454,-0.39254
13.028,-0.66327
13.186,-0.56067
9.7642,-0.5832128970179753
9.7642,-0.5564955686312204
13.633,-0.5643199999999999
13.982,-0.5989399999999999
10.559,-0.38737
10.903,-0.4919600000000001
15.155,0.4562100000000001
15.048,0.54585
4.1016,-0.021167834689960963
4.1016,-0.030943993080690176
11.148,-0.45193
11.536,-0.5514600000000001
15.048,0.54585
14.829,0.53757
15.978,-2.574414248886084e-06
15.978,3.884700000000315e-09
13.186,-0.56067
13.268,-0.47613
4.1016,0.06094866538294823
4.1016,0.058156836805889775
4.1016,0.061889
4.1016,0.06094886866939686
14.829,0.53757
14.442,0.4961600000000001
9.7642,0.5564951652800252
9.7642,0.5564955686312205
5.2034,-0.11221
5.3871,-0.14842
13.268,-0.47613
13.633,-0.5643199999999999
4.1016,-0.061889
4.1135,-0.094123
8.1778,-0.31726
8.3584,-0.30341
12.964,-0.5422899999999999
13.028,-0.66327
4.1016,0.010746335620258507
4.1016,5.853399999886311e-07
15.978,5.1421e-06
15.890999999999998,0.18917184043349453
11.746,-0.5213800000000001
11.927,-0.5002300000000001
7.2219,-0.17008
7.4197,-0.20085
4.1016,0.0535977388848151
4.1016,0.053597153544815125
9.2239,0.2848
8.9488,0.46232
9.7642,0.5564955686312205
9.7642,0.5832128970179753
9.3503,0.29092
9.2239,0.2848
8.9488,0.46232
8.7728,0.40503
6.1521,-0.1896
6.2039,-0.21125
9.2239,-0.2848
9.3503,-0.29092
4.1016,-0.05359715354481512
4.1016,-0.053597738884815116
4.4238,-0.10738
4.5349,-0.1173
15.978,-5.1421e-06
15.978,-2.574414248886084e-06
12.964,0.5422899999999999
12.768,0.46043
4.1016,-0.058156836805889775
4.1016,-0.06094866538294823
7.0518,-0.24195
7.2219,-0.17008
8.5608,0.26726
8.3584,0.30341
12.454,-0.39254
12.768,-0.46043
4.1016,-0.02116673461060365
4.1016,-0.021167834689960963
10.903,0.4919600000000001
10.559,0.38737
11.927,0.5002300000000001
11.746,0.5213800000000001
13.982,-0.5989399999999999
14.390999999999998,-0.5191899999999999
12.768,0.46043
12.454,0.39254
6.2039,0.21125
6.1521,0.1896
7.4197,0.20085
7.2219,0.17008
6.9292,0.17879
6.7013,0.20206
4.1016,0.03978193077234456
4.1016,0.0397810339794359
10.107,-0.31112
10.375,-0.36705
4.8813,-0.094116
5.0464,-0.18416
12.768,-0.46043
12.964,-0.5422899999999999
6.4858,0.17975
6.2039,0.21125
15.890999999999998,-0.18917184043349453
15.978,-5.1421e-06
4.2195,-0.10399
4.4238,-0.10738
4.1016,0.04741010078948986
4.1016,0.047409348290890975
4.7726,0.095698
4.6671,0.11679
4.1016,5.853399999886311e-07
4.1016,-5.853399999962102e-07
15.890999999999998,0.18917184043349453
15.890999999999998,0.19209
6.7013,0.20206
6.4858,0.17975
7.6548,-0.19747
7.8119,-0.17985
11.746,0.5213800000000001
11.536,0.5514600000000001
5.5352,0.12167
5.4898,0.12392
15.890999999999998,0.19209
15.728,0.13545
7.0518,0.24195
6.9292,0.17879
4.6671,0.11679
4.5802,0.1292
15.890999999999998,-0.19209
15.890999999999998,-0.18917184043349453
8.9488,-0.46232
9.2239,-0.2848
4.1016,-0.030943993080690176
4.1016,-0.030945006919309837
9.7642,0.5832131018047442
9.7642,0.59221
9.7642,-0.5832131018047442
9.7642,-0.5832128970179753
15.503,-0.26971
15.728,-0.13545
4.1016,-0.06094866538294823
4.1016,-0.06094886866939686
8.5608,-0.26726
8.7728,-0.40503
4.1016,0.03094500691930985
4.1016,0.030943993080690155
6.4858,-0.17975
6.7013,-0.20206
5.657,0.14342
5.5352,0.12167
14.390999999999998,0.5191899999999999
13.982,0.5989399999999999
8.1778,0.31726
8.0104,0.22821
4.1016,-0.03978103397943592
4.1016,-0.03978193077234457
11.927,-0.5002300000000001
12.286,-0.57434
15.503,0.26971
15.155,0.4562100000000001
12.286,0.57434
11.927,0.5002300000000001
4.1016,0.058156836805889775
4.1016,0.05815643640974839
5.8118,-0.10558
5.9673,-0.11858
15.978,2.5676857511139192e-06
15.978,5.1421e-06
10.559,0.38737
10.375,0.36705
11.148,0.45193
10.903,0.4919600000000001
4.2195,0.10399
4.1135,0.094123
15.048,-0.54585
15.155,-0.4562100000000001
4.8813,0.094116
4.7726,0.095698
10.107,0.31112
9.7642,0.5564951652800252
8.0104,-0.22821
8.1778,-0.31726
15.728,0.13545
15.503,0.26971
9.7642,-0.59221
9.7642,-0.5832131018047442
4.1016,0.030943993080690155
4.1016,0.02116783468996098
4.5349,-0.1173
4.5802,-0.1292
4.7726,-0.095698
4.8813,-0.094116
13.982,0.5989399999999999
13.633,0.5643199999999999
4.1016,0.0397810339794359
4.1016,0.03094500691930985
4.5349,0.1173
4.4238,0.10738
14.390999999999998,-0.5191899999999999
