origId,iceLabel,d,T,Points:0,Points:1,Points:2,cluster
4065,1,1.0025e-05,201.28,4.5482,0.13371,-1.6992e-07,2
4065,1,1.0025e-05,201.28,4.5482,0.13167867416156068,0.023218330497311864,2
4065,1,1.0025e-05,201.28,4.5482,0.12564635844134658,0.045731353691505036,2
4065,1,1.0025e-05,201.28,4.5482,0.11579634170001728,0.06685485284496337,2
4065,1,1.0025e-05,201.28,4.5482,0.10242791171190918,0.08594700112491538,2
4065,1,1.0025e-05,201.28,4.5482,0.08594726145745896,0.1024276932669679,2
4065,1,1.0025e-05,201.28,4.5482,0.06685514715503663,0.11579617178001728,2
4065,1,1.0025e-05,201.28,4.5482,0.0457316730366453,0.12564624220922102,2
4065,1,1.0025e-05,201.28,4.5482,0.023218665174378657,0.13167861514896398,2
4065,1,1.0025e-05,201.28,4.5482,1.6992000000818734e-07,0.13371,2
4065,1,1.0025e-05,201.28,4.5482,-0.02321833049731186,0.13167867416156068,2
4065,1,1.0025e-05,201.28,4.5482,-0.045731353691505036,0.12564635844134658,2
4065,1,1.0025e-05,201.28,4.5482,-0.06685485284496336,0.11579634170001728,2
4065,1,1.0025e-05,201.28,4.5482,-0.0859470011249154,0.10242791171190918,2
4065,1,1.0025e-05,201.28,4.5482,-0.10242769326696788,0.08594726145745897,2
4065,1,1.0025e-05,201.28,4.5482,-0.1157961717800173,0.0668551471550366,2
4065,1,1.0025e-05,201.28,4.5482,-0.12564624220922102,0.045731673036645305,2
4065,1,1.0025e-05,201.28,4.5482,-0.13167861514896398,0.02321866517437864,2
4065,1,1.0025e-05,201.28,4.5482,-0.13371,1.6992000001637476e-07,2
4065,1,1.0025e-05,201.28,4.5482,-0.13167867416156068,-0.02321833049731188,2
4065,1,1.0025e-05,201.28,4.5482,-0.12564635844134658,-0.04573135369150503,2
4065,1,1.0025e-05,201.28,4.5482,-0.11579634170001728,-0.0668548528449634,2
4065,1,1.0025e-05,201.28,4.5482,-0.10242791171190918,-0.08594700112491538,2
4065,1,1.0025e-05,201.28,4.5482,-0.08594726145745897,-0.10242769326696788,2
4065,1,1.0025e-05,201.28,4.5482,-0.06685514715503668,-0.11579617178001728,2
4065,1,1.0025e-05,201.28,4.5482,-0.045731673036645264,-0.12564624220922105,2
4065,1,1.0025e-05,201.28,4.5482,-0.023218665174378646,-0.13167861514896398,2
4065,1,1.0025e-05,201.28,4.5482,-1.6992000002456213e-07,-0.13371,2
4065,1,1.0025e-05,201.28,4.5482,0.023218330497311816,-0.1316786741615607,2
4065,1,1.0025e-05,201.28,4.5482,0.04573135369150508,-0.12564635844134656,2
4065,1,1.0025e-05,201.28,4.5482,0.0668548528449634,-0.11579634170001728,2
4065,1,1.0025e-05,201.28,4.5482,0.08594700112491538,-0.1024279117119092,2
4065,1,1.0025e-05,201.28,4.5482,0.10242769326696788,-0.08594726145745897,2
4065,1,1.0025e-05,201.28,4.5482,0.11579617178001725,-0.06685514715503668,2
4065,1,1.0025e-05,201.28,4.5482,0.12564624220922105,-0.04573167303664527,2
4065,1,1.0025e-05,201.28,4.5482,0.13167861514896398,-0.023218665174378653,2
4065,1,1.0025e-05,201.28,4.5482,0.13371,-1.699200000327495e-07,2
4056,1,1.0284e-05,215.15,4.7127,0.12113,-1.9476e-07,2
4056,1,1.0284e-05,215.15,4.7127,0.11928979694208786,0.02103381195963729,2
4056,1,1.0284e-05,215.15,4.7127,0.1138250337676402,0.04142871694650343,2
4056,1,1.0284e-05,215.15,4.7127,0.10490175454040904,0.06056483133289235,2
4056,1,1.0284e-05,215.15,4.7127,0.09279108858431667,0.07786071396651477,2
4056,1,1.0284e-05,215.15,4.7127,0.07786101235614626,0.09279083820568697,2
4056,1,1.0284e-05,215.15,4.7127,0.06056516866710765,0.10490155978040903,2
4056,1,1.0284e-05,215.15,4.7127,0.04142908297557309,0.11382490054395394,2
4056,1,1.0284e-05,215.15,4.7127,0.021034195561953257,0.11928972930264968,2
4056,1,1.0284e-05,215.15,4.7127,1.9476000000741702e-07,0.12113,2
4056,1,1.0284e-05,215.15,4.7127,-0.02103381195963729,0.11928979694208786,2
4056,1,1.0284e-05,215.15,4.7127,-0.04142871694650343,0.1138250337676402,2
4056,1,1.0284e-05,215.15,4.7127,-0.060564831332892324,0.10490175454040904,2
4056,1,1.0284e-05,215.15,4.7127,-0.07786071396651477,0.09279108858431667,2
4056,1,1.0284e-05,215.15,4.7127,-0.09279083820568694,0.07786101235614626,2
4056,1,1.0284e-05,215.15,4.7127,-0.10490155978040906,0.060565168667107636,2
4056,1,1.0284e-05,215.15,4.7127,-0.11382490054395394,0.0414290829755731,2
4056,1,1.0284e-05,215.15,4.7127,-0.11928972930264968,0.021034195561953243,2
4056,1,1.0284e-05,215.15,4.7127,-0.12113,1.9476000001483407e-07,2
4056,1,1.0284e-05,215.15,4.7127,-0.11928979694208786,-0.02103381195963731,2
4056,1,1.0284e-05,215.15,4.7127,-0.1138250337676402,-0.04142871694650342,2
4056,1,1.0284e-05,215.15,4.7127,-0.10490175454040904,-0.06056483133289237,2
4056,1,1.0284e-05,215.15,4.7127,-0.09279108858431667,-0.07786071396651477,2
4056,1,1.0284e-05,215.15,4.7127,-0.07786101235614626,-0.09279083820568694,2
4056,1,1.0284e-05,215.15,4.7127,-0.0605651686671077,-0.10490155978040903,2
4056,1,1.0284e-05,215.15,4.7127,-0.041429082975573066,-0.11382490054395394,2
4056,1,1.0284e-05,215.15,4.7127,-0.021034195561953246,-0.11928972930264968,2
