X,Y
33.306999999999995,0.981899601153146
33.306999999999995,0.9818996044684466
33.306999999999995,1.0654234923131636
33.306999999999995,1.0654234945809624
33.137,0.84972
33.137,0.8368108432822857
33.137,0.7984756149302467
33.137,0.7984756125381577
33.137,0.7358791078522131
33.137,0.7358791043552133
33.137,0.6509232864548861
33.137,0.6509232819592298
33.137,0.5461894903817036
33.137,0.5461894850239888
33.137,0.4248600030284911
33.137,0.4248599969715093
33.137,0.2906213594727925
33.137,0.2906213529005822
33.137,0.14755233297101644
33.137,0.1475523260832714
33.137,3.4969998439089685e-09
33.137,-3.4969999479696564e-09
33.137,-0.14755232608327132
33.137,-0.14755233297101675
33.137,-0.29062135290058194
33.137,-0.29062135947279233
33.137,-0.4248599969715096
33.137,-0.4248600030284907
33.137,-0.5461894850239889
33.137,-0.5461894903817037
33.137,-0.6509232819592298
33.137,-0.6509232864548862
33.137,-0.7358791043552132
33.137,-0.7358791078522133
33.137,-0.7984756125381577
33.137,-0.7984756149302465
33.137,-0.8368108432822857
33.137,-0.84972
33.306999999999995,-1.0654234945809624
33.306999999999995,-1.0654234923131634
33.306999999999995,-0.9818996044684464
33.306999999999995,-0.9818996011531466
33.608000000000004,-0.7044600000000001
33.689,-0.68479
33.847,-0.65458
34.14,-0.79498
34.392,-0.70095
34.605,-0.73869
34.75,-0.71768
35.041,-0.9942887601512536
35.041,-0.9942887639558858
35.041,-1.042025082496386
35.041,-1.0420250844280483
35.041,-1.0581
35.113,-0.99377
35.48699999999999,-0.92213
35.907,-0.94833
36.057,-0.8785299999999999
36.242,-0.8318200000000001
36.295,-0.74292
36.7,-0.77057
36.836,-0.9918983686816882
36.836,-1.0072
37.209,-0.92005
37.403,-1.138184020471955
37.403,-0.8853500000000007
37.403,-0.6056150677867616
37.482,-0.49198
37.856,-0.40315
38.13800000000001,-0.642787611906766
38.13800000000001,-0.7660444412559866
38.13800000000001,-0.7660444449819693
38.13800000000001,-0.8660254023352887
38.13800000000001,-0.8660254052335886
38.13800000000001,-0.9396926197946314
38.13800000000001,-0.9396926217771854
38.13800000000001,-0.9848077525089236
38.13800000000001,-1.0
38.353,-1.0353
38.353,-1.0195714680311163
38.353,-1.019571465355962
38.353,-0.9728637729341638
38.81800000000001,-0.85987
38.893,-0.99927
39.001,-1.0971
39.461,-1.1313
39.552,-1.1791486619727924
39.552,-1.179148630286358
39.689,-0.8723200000000001
39.689,-0.8590674983167114
39.689,-0.8197126685217285
39.689,-0.8197126654061988
39.689,-0.7554512825065417
39.689,-0.7554512779519416
39.689,-0.6682358915491874
39.689,-0.6682358856939065
39.925,-0.38103
40.277,-0.57224
40.427,-0.6812600000000001
40.702,-0.9284257060926944
40.702,-0.9729999079672852
40.702,-0.98801
40.88,-0.99219
41.144,-1.2103502201279852
41.144,-1.0156044233047323
41.144,-0.7899999999999997
41.56100000000001,-0.66242
41.635,-0.71533
41.797,-1.039500000000001
41.797,-1.3363554405383158
41.797,-1.5926063972443552
41.797,-1.8004668144678482
41.975,-1.533
41.975,-1.5097102867092689
41.975,-1.5097102840261614
41.975,-1.4405487903071426
41.975,-1.4405487850224528
41.975,-1.3276169478643949
41.975,-1.3276169401386944
41.975,-1.1743461362673775
41.975,-1.1743461263354091
41.975,-0.9853934115676946
41.975,-0.9853933997312356
42.163,-0.65245
42.484,-0.66237
42.622,-0.75062
42.74100000000001,-0.996700419489592
42.74100000000001,-0.8363309654612049
42.773,-0.76672
42.988,-0.6363858415137663
43.151,-0.65795
43.291,-0.7982199999999999
43.402,-0.6210399999999999
43.832,-0.8194159161857051
43.832,-0.8194159169198151
43.832,-0.8891183636841302
43.832,-0.8891183641862911
43.832,-0.931805399617614
44.014,-0.6872647575701767
44.44,-0.5482199999999999
44.784,-0.59513
44.914,-0.71487
44.957,-1.0691999986774054
44.957,-1.0692000013225949
44.957,-1.3745370233837926
44.957,-1.3745370257235991
44.957,-1.6381094361839568
45.261,-1.3248
45.261,-1.304673311190573
45.261,-1.2449047840171714
45.261,-1.1473104549336242
45.261,-1.014855678244022
45.261,-0.8515650253127274
45.512,-0.62921
45.512,-0.6196508862461408
45.512,-0.5912639938721707
45.688,-0.36155
46.003,-0.34721
46.228,-0.6126922938010155
46.228,-0.7301782422921475
46.228,-0.8254780943792511
46.228,-0.8956962122807121
46.228,-0.9386990540161764
46.228,-0.95318
46.257,-0.97821
46.56800000000001,-1.1451999999544136
46.56800000000001,-0.783362936322577
46.87,-0.56843
47.232,-0.7959314740619966
47.232,-0.80821
47.39100000000001,-0.74235
47.664,-0.84451
48.007,-1.0955001444507804
48.007,-1.1124
48.389,-1.2806
48.52,-1.3857858158195338
48.694,-1.212
49.054,-1.0918
49.222,-1.1174
49.222,-1.1004241832073116
49.372,-0.87341
49.607,-0.86995
49.95,-1.158915192657486
49.95,-1.1589151980311858
49.95,-1.2574966632977889
49.95,-1.2574966669736165
49.95,-1.3178697341478036
49.95,-1.31786973601407
49.95,-1.3382
50.444,-1.3136
50.882,-1.2243
51.08600000000001,-1.5176858173368002
51.08600000000001,-1.1805500089243914
51.309,-1.0573
51.605,-1.2928532111405493
51.605,-1.4615910704754471
52.00100000000001,-1.2365
52.252,-1.2784
52.585,-1.4638
52.585,-1.4415615888592699
52.585,-1.3755220583064125
52.831,-1.1396
52.831,-1.1222869153327122
52.831,-1.0708737106476212
52.831,-0.9869225501527462
52.831,-0.8729842473783872
52.84,-0.81324
52.84,-0.8008850568579556
52.84,-0.7641956265306756
52.84,-0.704286499954407
52.84,-0.7042864987929068
52.84,-0.6229779836686753
52.84,-0.6229779821754798
52.84,-0.5227405965912418
52.84,-0.5227405948117207
52.84,-0.4066200010058883
52.94600000000001,-0.20724
52.94600000000001,-0.20409155851033067
52.94600000000001,-0.19474189829063668
52.94600000000001,-0.17947510403553707
52.94600000000001,-0.15875504956310238
52.94600000000001,-0.13321130521925273
52.94600000000001,-0.13321130324362415
52.94600000000001,-0.10362000111673972
52.94600000000001,-0.10361999888326033
52.94600000000001,-0.07088025571454523
52.94600000000001,-0.07088025329107793
52.94600000000001,-0.03598684960960423
52.94600000000001,-0.03598684706978505
52.94600000000001,-1.28949998731021e-09
52.94600000000001,1.2894999619306298e-09
52.94600000000001,0.03598684706978507
52.94600000000001,0.03598684960960416
52.94600000000001,0.07088025329107799
52.94600000000001,0.07088025571454527
52.94600000000001,0.10361999888326028
52.94600000000001,0.1036200011167398
52.94600000000001,0.13321130324362412
52.94600000000001,0.1332113052192527
52.94600000000001,0.15875504956310238
52.94600000000001,0.17947510532503702
