X,Y
43.505,0.8820468728682008
43.505,0.8820468746407004
43.505,0.957076933664217
43.807,1.1989173777632405
43.807,1.1989174430643592
43.449,1.2203500183779254
43.449,1.5688517027057076
43.397,1.2675
43.3,1.0887
43.3,1.0721602017099698
43.3,1.0721601996988115
43.3,1.0230433582302227
43.3,1.023043354269014
43.3,0.9428418599955679
43.3,0.9428418542046684
43.3,0.83399258894595
43.3,0.8339925815013126
43.3,0.699802875101822
42.953,0.49713
42.762,0.7199702194361931
42.762,0.7812134602903649
42.762,0.8187199254666991
42.762,0.83135
42.648,0.8312200000000001
42.306,0.8158
42.299,0.82124
41.901,0.86741
41.719,1.1229326804105084
41.719,1.0349003596109545
41.719,1.0349003554338538
41.719,0.9154231122121668
41.719,0.9154231068421904
41.245,0.76185
40.856,0.7336699999999999
40.6,0.95378
40.561,1.0067
40.369,1.350153328011064
40.369,1.3501533339833331
40.369,1.5263697718472726
40.336,1.307650007813368
39.913,1.2205
39.788,1.0217
39.788,1.006178080872735
39.381,0.80901
39.14,0.8995299999999999
39.14,0.8858641172540854
39.14,0.8452817047768181
39.14,0.8452817015742783
39.14,0.7790158338071158
39.14,0.7790158291253161
39.14,0.6890799609282171
39.14,0.6890799549094112
39.14,0.5782067421277995
39.14,0.5782067349548659
39.14,0.4497650040545578
39.14,0.4497649959454424
39.14,0.30765738392519193
39.14,0.30765737512628594
39.14,0.15620174986740645
39.14,0.15620174064606102
39.14,4.6817998347590194e-09
39.14,-4.681799944919674e-09
39.14,-0.1562017406460609
39.14,-0.15620174986740673
39.14,-0.3076573751262857
39.14,-0.30765738392519165
39.14,-0.4497649959454426
39.14,-0.4497650040545575
39.14,-0.578206734954866
39.14,-0.5782067421277997
39.14,-0.6890799549094112
39.14,-0.6890799609282172
39.14,-0.7790158291253159
39.14,-0.7790158338071161
39.14,-0.8452817015742783
39.14,-0.845281704776818
39.14,-0.8858641172540854
39.14,-0.8995299999999999
39.381,-0.80901
39.788,-1.006178080872735
39.788,-1.0217
39.913,-1.2205
40.336,-1.307650007813367
40.369,-1.5263697718472733
40.369,-1.3501533339833331
40.369,-1.3501533280110642
40.561,-1.0067
40.6,-0.95378
40.856,-0.7336699999999999
41.245,-0.76185
41.719,-0.9154231068421904
41.719,-0.9154231122121668
41.719,-1.0349003554338545
41.719,-1.0349003596109545
41.719,-1.1229326804105082
41.901,-0.86741
42.299,-0.82124
42.306,-0.8158
42.648,-0.8312200000000001
42.762,-0.83135
42.762,-0.8187199254666991
42.762,-0.7812134602903649
42.762,-0.7199702194361931
42.953,-0.49713
43.3,-0.6998028751018222
43.3,-0.8339925815013126
43.3,-0.8339925889459501
43.3,-0.9428418542046684
43.3,-0.9428418599955684
43.3,-1.023043354269014
43.3,-1.0230433582302227
43.3,-1.0721601996988115
43.3,-1.0721602017099698
43.3,-1.0887
43.397,-1.2675
43.449,-1.5688517027057078
43.449,-1.5688517352181657
43.449,-1.8696846586798936
43.449,-1.8696846859610847
43.807,-1.75270003009092
43.807,-1.7526999699090804
43.449,-1.5688517027057078
43.449,-1.2203500183779248
43.807,-1.1989174430643583
43.807,-1.1989173777632391
43.505,-0.957076933664217
43.505,-0.8820468746407008
43.505,-0.8820468728682007
43.807,-0.6087063562117878
44.055,-0.60458
44.24,-0.8876760374182494
44.24,-0.7851955560749205
44.535,-0.57011
44.727,-0.59472
45.075,-0.6496
45.21100000000001,-0.8135120037986499
45.21100000000001,-0.9695058430331948
45.21100000000001,-0.9695058513895624
45.21100000000001,-1.0960417477795357
45.469,-0.82134
45.74,-1.0838762825690418
45.74,-1.2253393438146023
45.74,-1.3295710891499817
45.74,-1.3934044897369733
45.74,-1.4149
45.883,-1.3835
45.883,-1.3624815273367272
