cluster,temperature,ice_particles,ice_mass,ice_length
1,265.451,4750,0.0025903354774739792,4.422
2,382.38,38,2.9409667112183494e-05,0.002
3,290.28,38,3.2830211065908006e-05,0.01
4,291.995,76,6.358972176638196e-05,0.101
5,336.79,38,2.5633365059718843e-05,0.006
6,346.1,38,2.2666107664893073e-05,0.006
all,268.099,4978,0.002764464550143063,4.422
