cluster,temperature,ice_particles,ice_mass,ice_length
1,219.128,2220,0.0011404451435027304,6.081
2,234.401,51360,0.029285570084200668,12.194
3,312.909,570,0.0002898879615716068,0.869
4,338.91,38,1.8432058693343753e-05,0.142
all,234.675,54188,0.03073433524796812,13.61
